_unnamed,_unnamed_2,_unnamed_3,CODEBOOK,_unnamed_4,_unnamed_5,_unnamed_6
,V95,Self positioning in political scale,"In political matters, people talk of ""the left"" and ""the right."" How would you place your views on this scale, generally speaking?",3,,"1##Left
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Right
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V96,Income equality,"Now I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between.



""Incomes should be made more equal"" vs.

""We need larger income differences as incentives for individual effort""",3,,"1##Incomes should be made more equal
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##We need larger income differences as incentives for individual effort
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V97,Private vs state ownership of business,"Now I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between.



""Private ownership of business and industry should be increased"" vs. ""Government ownership of business and industry should be increased""",3,,"1##Private ownership of business and industry should be increased
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Government ownership of business and industry should be increased
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V98,Government responsibility,"Now I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between.



""Government should take more responsibility to ensure that everyone is provided for"" vs.

""People should take more responsibility to provide for themselves""",3,,"1##The government should take more responsibility to ensure that everyone is provided for
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##People should take more responsibility to provide for themselves
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V99,Competition good or harmful,"Now I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between.



""Competition is good. It stimulates people to work hard and develop new ideas"" vs. 

""Competition is harmful. It brings out the worst in people""",3,,"1##Competition is good. It stimulates people to work hard and develop new ideas
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Competition is harmful. It brings out the worst in people
-5##Missing; RU: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V100,Hard work brings success,"Now I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between.



""In the long run, hard work usually brings a better life"" vs. 

""Hard work doesn’t generally bring success—it’s more a matter of luck and connections""",3,,"1##In the long run, hard work usually brings a better life
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Hard work doesn´t generally bring success - it´s more a matter of luck and connections
-5##SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V101,Wealth accumulation,"Now I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between.:



""People can only get rich at the expense of others"" vs.

""Wealth can grow so there’s enough for everyone""",3,,"1##People can only get rich at the expense of others
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Wealth can grow so there´s enough for everyone
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V102,How much you trust: Your family,"I ‘d like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?



Your family",3,,"1##Trust completely
2##Trust somewhat
3##Do not trust very much
4##Do not trust at all
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V103,How much you trust: Your neighborhood,"I ‘d like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?



Your neighborhood",3,,"1##Trust completely
2##Trust somewhat
3##Do not trust very much
4##Do not trust at all
-5##SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V104,How much you trust: People you know personally,"I ‘d like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?



People you know personally",3,,"1##Trust completely
2##Trust somewhat
3##Do not trust very much
4##Do not trust at all
-5##SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V105,How much you trust: People you meet for the first time,"I ‘d like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?



People you meet for the first time",3,,"1##Trust completely
2##Trust somewhat
3##Do not trust very much
4##Do not trust at all
-5##SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V106,How much you trust: People of another religion,"I ‘d like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all? :



People of another religion",3,,"1##Trust completely
2##Trust somewhat
3##Do not trust very much
4##Do not trust at all
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V107,How much you trust: People of another nationality,"I ‘d like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?



People of another nationality",3,,"1##Trust completely
2##Trust somewhat
3##Do not trust very much
4##Do not trust at all
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V108,Confidence: The Churches,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?



The churches (*)



*   [Substitute “religious organizations” in non-Christian countries; “the Church” in Catholic countries]",3,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##BH: Missing; DE,SE:Inapplicable ; RU:Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V109,Confidence: The armed forces,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



The armed forces",3,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; RU,DE: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V110,Confidence: The press,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



The press",3,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##AM,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V111,Confidence: Television,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



Television",3,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##AM,DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V112,Confidence: Labour Unions,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



Labor unions",3,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##AM,DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V113,Confidence: The police,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



The police",3,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##AM: Inapplicable; RU,DE: Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V114,Confidence: The courts,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



The courts",3,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V115,Confidence: The government (in your nation’s capital),"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



The government (in your nation’s capital)",3,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; RU: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V116,Confidence: Political Parties,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



Political parties",3,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V117,Confidence: Parliament,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



Parliament",3,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##AM,DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V118,Confidence: The Civil service,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



The Civil service",3,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##DE,SE:Inapplicable ; RU:Inappropriate response; SG: Refused; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V119,Confidence: Universities,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



Universities",3,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##AM,DE,SE:Inapplica{Inappropriate}ble ; RU:Inappropriate response; SG: Refused; Missing
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V120,Confidence: Major Companies,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



Major Companies",3,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##AM,DE,SE:Inapplicable ; RU:Inappropriate response; SG: Refused; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V121,Confidence: Banks,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



Banks",3,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; RU: Inappropriate response SG: Refused{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V122,Confidence: Environmental organizations,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



Environmental organizations",3,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; RU,DE: Inappropriate response SG: Refused{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V123,Confidence: Women's organizations,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? 



Women’s organizations",3,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##AM,DE,SE:Inapplicable ; RU:Inappropriate response; SG: Refused; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V124,Confidence: Charitable or humanitarian organizations,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?



Charitable or humanitarian organizations",3,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; RU,DE: Inappropriate response SG: Refused{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V125_00,Confidence: The European Union,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



The [European Union]",3,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##DE,SE:Inapplicable; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V125_01,Confidence: The APEC (Asia-Pacific Economic Cooperation Conference),"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



The APEC (Asia-Pacific Economic Cooperation Conference)",2,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V125_02,Confidence: CARICOM,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



CARICOM",2,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V125_03,Confidence: The Arab Maghreb Union,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



The Arab Maghreb Union",2,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V125_04,Confidence: The Organization of the Islamic World,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



The Organization of the Islamic World",2,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V125_05,Confidence: The NAFTA  (North American Free Trade Agreement),"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



The NAFTA",2,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V125_06,Confidence: The MERCOSUR,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



The MERCOSUR",3,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V125_07,Confidence: The CIS,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



The CIS",3,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; RU: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V125_08,Confidence: The African Union,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



The African Union",2,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V125_09,Confidence: The ASEAN (Association of South East Asian Nations),"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



The ASEAN (Association of South East Asian Nations)",2,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V125_10,Confidence: The CER (closer economic relations) with Australia,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



The CER",3,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V125_11,Confidence: The Organization of American States (OAE),"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



The Organization of American States (OAE)",2,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V125_12,Confidence: SAARC,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



SAARC",2,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V125_13,Confidence: UNASUR,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



UNASUR",2,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V125_14,Confidence: The Free Commerce Treaty (Tratado de libre comercio),"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



The Free Commerce Treaty (Tratado de libre comercio)",3,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V125_15,Confidence: The Arab League,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



The Arab League",2,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V125_16,Confidence: Cooperation Council for the Arab states of Gulf (GCC),,3,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V125_17,Confidence: Mainland government,,3,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V126,Confidence: The United Nations,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:



The United Nations",3,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; RU,DE: Inappropriate response SG: Refused{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V127,Political system: Having a strong leader who does not have  to bother with parliament and elections,"I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country? 



Having a strong leader who does not have  to bother with parliament and elections",3,,"1##Very good
2##Fairly good
3##Bad
4##Very bad
-5##DE,SE:Inapplicable ; RU:Inappropriate response; BH: Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V128,"Political system: Having experts, not government, make decisions according to what they think is best for the country","I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country? 



Having experts, not government, make decisions according to what they think is best for the country",3,,"1##Very good
2##Fairly good
3##Fairly bad
4##Very bad
-5##EC,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V129,Political system: Having the army rule,"I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country? 



Having the army rule",3,,"1##Very good
2##Fairly good
3##Fairly bad
4##Very bad
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V130,Political system: Having a democratic political system,"I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country? 



Having a democratic political system",3,,"1##Very good
2##Fairly good
3##Fairly bad
4##Very bad
-5##Missing; RU: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V131,Democracy: Governments tax the rich and subsidize the poor.,"Many things are desirable, but not all of them are essential characteristics of democracy. Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy”:



Governments tax the rich and subsidize the poor",3,,"1##Not an essential characteristic of democracy
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##An essential characteristic of democracy
-5##AM,DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V132,Democracy: Religious authorities interpret the laws.,"Many things are desirable, but not all of them are essential characteristics of democracy. Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy”:



Religious authorities ultimately interpret the laws",3,,"1##Not an essential characteristic of democracy
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##An essential characteristic of democracy
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V133,Democracy: People choose their leaders in free elections.,"Many things are desirable, but not all of them are essential characteristics of democracy. Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy”:



People choose their leaders in free elections",3,,"1##Not an essential characteristic of democracy
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##An essential characteristic of democracy
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V134,Democracy: People receive state aid for unemployment.,"Many things are desirable, but not all of them are essential characteristics of democracy. Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy”:



People receive state aid for unemployment",3,,"1##Not an essential characteristic of democracy
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##An essential characteristic of democracy
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V135,Democracy: The army takes over when government is incompetent.,"Many things are desirable, but not all of them are essential characteristics of democracy. Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy”:



The army takes over when government is incompetent",3,,"1##Not an essential characteristic of democracy
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##An essential characteristic of democracy
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V136,Democracy: Civil rights protect people’s liberty from state oppression,"Many things are desirable, but not all of them are essential characteristics of democracy. Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy”:



Civil rights protect people from state oppression",3,,"1##Not an essential characteristic of democracy
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##An essential characteristic of democracy
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V137,Democracy: The state makes people's incomes equal,"Many things are desirable, but not all of them are essential characteristics of democracy. Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy”:



The state makes people’s incomes equal",3,,"1##Not an essential characteristic of democracy
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##An essential characteristic of democracy
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V138,Democracy: People obey their rulers,"Many things are desirable, but not all of them are essential characteristics of democracy. Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy”:



People obey their rulers",3,,"1##Not an essential characteristic of democracy
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##An essential characteristic of democracy
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V139,Democracy: Women have the same rights as men.,"Many things are desirable, but not all of them are essential characteristics of democracy. Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy”:



Women have the same rights as men",3,,"1##Not an essential characteristic of democracy
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##An essential characteristic of democracy
-5##SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V140,Importance of democracy,How important is it for you to live in a country that is governed democratically? On this scale where 1 means it is “not at all important” and 10 means “absolutely important” what position would you choose?,3,,"1##Not at all important
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Absolutely important
-5##Missing; RU: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V141,How democratically is this country being governed today,"And how democratically is this country being governed today? Again using a scale from 1 to 10, where 1 means that it is “not at all democratic” and 10 means that it is “completely democratic,” what position would you choose?",3,,"1##Not at all democratic
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Completely democratic
-5##Missing; RU,DE: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
,V142,How much respect is there for individual human rights nowadays in this country,How much respect is there for individual human rights nowadays in this country?. Do you feel there is:,3,,"1##A great deal of respect for individual human rights
2##Fairly much  respect
3##Not much respect
4##No respect at all
-5##AM: Inapplicable; RU,DE: Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
